;Grunddaten;;;;tatsächliche Verteilung;;;;Verteilungsschlüssel (2/3 BIP, 1/3 Einwohner);;;;;
;Einwohner;;BIP;;Asylbewerber;;Asylbewerber je 100.000 Einwohner;Asylbewerber je BIP-Milliarde;Asylbewerber;;Asylbewerber je 100.000 Einwohner;Asylbewerber je BIP-Milliarde;Unterschied;
;absolut;Anteil;in Mrd. Euro;Anteil;absolut;Anteil;absolut;absolut;absolut;Anteil;absolut;absolut;absolut;Prozent
Belgien;11.203.992;2,15;402;2,71;22.850;3,44;204;57;16.778;2,53;150;42;-6.072;-27
Bulgarien;7.245.677;1,39;42;0,28;11.080;1,67;153;264;4.336;0,65;60;103;-6.744;-61
Dänemark;5.627.235;1,08;257;1,74;14.715;2,22;261;57;10.081;1,52;179;39;-4.634;-31
Deutschland;80.767.463;15,52;2.904;19,59;202.815;30,54;251;70;121.067;18,23;150;42;-81.748;-40
Estland;1.315.819;0,25;20;0,13;155;0,02;12;8;1.143;0,17;87;59;988;637
Finnland;5.451.270;1,05;204;1,38;3.625;0,55;66;18;8.411;1,27;154;41;4.786;132
Frankreich;65.835.579;12,65;2.142;14,45;64.310;9,69;98;30;91.968;13,85;140;43;27.658;43
Griechenland;10.903.704;2,10;179;1,21;9.435;1,42;87;53;9.985;1,50;92;56;550;6
Großbritannien;64.308.261;12,36;2.222;14,99;31.945;4,81;50;14;93.717;14,11;146;42;61.772;193
Irland;4.605.501;0,88;185;1,25;1.450;0,22;31;8;7.496;1,13;163;40;6.046;417
Island;325.671;0,06;13;0,09;170;0,03;52;13;522;0,08;160;41;352;207
Italien;60.782.668;11,68;1.616;10,90;64.625;9,73;106;40;74.111;11,16;122;46;9.486;15
Kroatien;4.246.809;0,82;43;0,29;450;0,07;11;10;3.093;0,47;73;72;2.643;587
Lettland;2.001.468;0,38;24;0,16;375;0,06;19;16;1.570;0,24;78;65;1.195;319
Liechtenstein**;37.129;0,01;4;0,03;75;0,01;202;17;149;0,02;401;33;74;99
Litauen;2.943.472;0,57;36;0,24;440;0,07;15;12;2.335;0,35;79;64;1.895;431
Luxemburg*;549.680;0,11;45;0,31;1.150;0,17;209;25;1.586;0,24;289;35;436;38
Malta;425.384;0,08;8;0,05;1.350;0,20;317;170;419;0,06;98;53;-931;-69
Niederlande;16.829.289;3,23;655;4,42;24.535;3,70;146;37;26.729;4,03;159;41;2.194;9
Norwegen;5.107.970;0,98;377;2,54;13.265;2,00;260;35;13.438;2,02;263;36;173;1
Österreich;8.506.889;1,63;329;2,22;28.065;4,23;330;85;13.443;2,02;158;41;-14.622;-52
Polen*;38.017.856;7,31;398;2,68;8.025;1,21;21;20;28.046;4,22;74;71;20.021;249
Portugal;10.427.301;2,00;173;1,17;445;0,07;4;3;9.603;1,45;92;55;9.158;2058
Rumänien;19.947.311;3,83;150;1,01;1.545;0,23;8;10;12.963;1,95;65;86;11.418;739
Schweden;9.644.864;1,85;429;2,90;81.325;12,25;843;189;16.927;2,55;176;39;-64.398;-79
Schweiz*;8.139.631;1,56;516;3,48;23.770;3,58;292;46;18.873;2,84;232;37;-4.897;-21
Slowakei;5.415.949;1,04;75;0,51;330;0,05;6;4;4.549;0,69;84;60;4.219;1279
Slowenien;2.061.085;0,40;37;0,25;385;0,06;19;10;1.989;0,30;96;53;1.604;417
Spanien;46.512.199;8,94;1.058;7,14;5.615;0,85;12;5;51.391;7,74;110;49;45.776;815
Tschechien;10.512.419;2,02;155;1,05;1.155;0,17;11;7;9.097;1,37;87;59;7.942;688
Ungarn;9.877.365;1,90;103;0,70;42.775;6,44;433;414;7.286;1,10;74;71;-35.489;-83
Zypern;858.000;0,16;18;0,12;1.745;0,26;203;100;888;0,13;103;51;-857;-49
Gesamt;520.434.910;100;14.823;100;663.990;100;128;45;663.990;100;128;45;0;0
;;;;;;;;;;;;;;
Quelle: Eurostat (2014), eigene Berechnung WamS;;;;;;;;;;;;;;
* BIP von 2013;;;;;;;;;;;;;;
** BIP von 2013 laut Amt für Statistik Liechtenstein;;;;;;;;;;;;;;
